,FAM_N,internet,agua,banco,iglesia,dejar_hijos,cuantas_personas,tiempo_casa,primer_hijo,cuantas_trabajan,tiempo_trabajan,pierden_colegio,ingreso,bautizadas,DIRECCION,PADRE,MADRE,F,M,NINOS,MAYORES
0,792,1,0,1,0,0,8,50,20,3,0.5,,2000,6,OTRO CASO,0,1,5,4,3,0
1,791,0,1,1,0,1,10,20,19,2,1,,2000,10,OTRO CASO,0,1,2,4,5,0
2,790,1,1,1,1,,3,15,,1,1.5,,1800,3,OTRO CASO,1,0,2,1,0,0
3,793,0,1,1,1,1,6,0.3,21,3,1.5,,1200,3,OTRO CASO,1,1,3,3,2,0
4,234,0,1,0,1,1,3,18,21,1,1,,400,2,OTRO CASO,0,1,3,0,2,0
5,794,0,0,0,1,0,4,3,20,1,2,2,900,0,OTRO CASO,1,1,2,2,2,0
6,795,0,1,0,1,1,5,4,18,1,1,3,400,2,OTRO CASO,0,1,2,3,3,0
7,796,0,1,0,1,1,6,18,17,1,1,2,500,4,OTRO CASO,0,1,2,4,5,0
8,797,0,1,0,0,,1,18,25,,,,,1,OTRO CASO,0,1,1,0,0,0
9,798,0,1,0,1,,4,30,22,1,2,,600,4,OTRO CASO,1,1,2,2,0,0
10,799,0,1,0,1,0,4,2,19,2,1,,700,,OTRO CASO,1,1,3,1,2,0
11,800,0,1,0,1,,1,1,,1,,,300,1,OTRO CASO,0,1,2,0,0,1
12,225,0,1,0,1,0,8,25,18,1,2.5,0,800,8,MANUEL SCORZA,1,1,3,1,2,0
13,226,0,1,0,1,0,6,19,17,1,3,0,800,6,MANUEL SCORZA,1,1,1,3,2,0
14,227,0,1,0,1,0,3,25,33,1,2,0,800,3,MANUEL SCORZA,0,1,2,0,1,0
15,228,0,1,0,1,0,3,27,20,2,1,,,3,MANUEL SCORZA,1,1,1,1,0,0
16,229,0,1,0,1,0,11,29,18,2,1.5,,1500,2,MANUEL SCORZA,1,1,5,3,6,0
17,230,0,1,0,1,,2,30,,,,,250,2,MANUEL SCORZA,1,1,1,1,0,0
18,231,0,1,0,1,0,5,30,18,1,,,,5,MANUEL SCORZA,1,1,3,2,1,2
19,232,0,1,0,1,0,8,44,25,1,,,500,4,MANUEL SCORZA,1,1,1,3,2,0
20,233,0,1,0,1,0,7,30,29,1,,,800,5,MANUEL SCORZA,1,1,1,4,3,0
21,1,,,,,,8,18,27,2,1,2,900,,MINAS 2000,1,1,6,2,2,0
22,2,0,1,0,1,1,4,15,25,1,1,10,400,,TOMAS DE MINAS,1,1,1,3,2,0
23,3,1,1,0,1,0,3,18,19,1,,,500,2,MINAS 2000,0,1,1,2,1,0
24,4,0,1,0,1,0,5,13,20,,,,,,LOMAS DE MINAS,0,1,3,2,3,0
25,5,0,0,1,0,1,8,3,17,1,,1,930,3,CERRO VERDE,0,1,5,3,6,0
26,6,0,1,0,0,1,6,,,1,,,930,0,AMPUACION MINAS,1,1,3,3,4,0
27,7,1,1,0,1,0,7,,,1,1,,600,0,MINAS 2000,1,1,1,1,0,0
28,,0,1,0,1,1,3,15,20,1,1,4,400,2,,,,,,,
29,9,1,1,0,1,0,8,15,22,2,2,1,800,1,ALTO PROGRESO,1,1,4,4,5,0
30,10,0,1,0,1,0,6,10,20,1,1.5,,700,,TOMAS DE MINAS,1,1,2,4,4,0
31,11,0,1,0,0,1,6,13,20,1,3,10,800,,MINAS 2000,1,1,2,4,4,0
32,12,1,1,0,0,1,4,10,21,2,1,2,900,4,MINAS 2000,1,1,2,2,2,0
